Entity,Code,Year,Eggs | 00002949 || Exports | 005911 || tonnes
Antigua and Barbuda,ATG,1985,0
Antigua and Barbuda,ATG,1986,0
Antigua and Barbuda,ATG,1987,0
Antigua and Barbuda,ATG,1988,0
Antigua and Barbuda,ATG,1989,0
Antigua and Barbuda,ATG,1990,0
Antigua and Barbuda,ATG,1991,0
Antigua and Barbuda,ATG,1992,0
Antigua and Barbuda,ATG,1993,0
Antigua and Barbuda,ATG,1994,0
Antigua and Barbuda,ATG,1995,0
Antigua and Barbuda,ATG,1996,0
Antigua and Barbuda,ATG,1997,0
Antigua and Barbuda,ATG,1998,0
Antigua and Barbuda,ATG,1999,0
Antigua and Barbuda,ATG,2000,0
Antigua and Barbuda,ATG,2001,0
Antigua and Barbuda,ATG,2002,0
Antigua and Barbuda,ATG,2003,0
Antigua and Barbuda,ATG,2004,0
Antigua and Barbuda,ATG,2005,0
Antigua and Barbuda,ATG,2006,0
Antigua and Barbuda,ATG,2007,0
Antigua and Barbuda,ATG,2008,0
Antigua and Barbuda,ATG,2009,0
Antigua and Barbuda,ATG,2010,0
Antigua and Barbuda,ATG,2011,0
Antigua and Barbuda,ATG,2012,0
Antigua and Barbuda,ATG,2013,0
Antigua and Barbuda,ATG,2014,0
Antigua and Barbuda,ATG,2019,0
Antigua and Barbuda,ATG,2020,0
Argentina,ARG,1961,12000
Argentina,ARG,1962,8000
Argentina,ARG,1963,7000
Argentina,ARG,1964,0
Argentina,ARG,1965,3000
Argentina,ARG,1966,1000
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,1000
Argentina,ARG,1991,1000
Argentina,ARG,1992,1000
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,1000
Argentina,ARG,1996,1000
Argentina,ARG,1997,3000
Argentina,ARG,1998,2000
Argentina,ARG,1999,0
Argentina,ARG,2000,0
Argentina,ARG,2001,1000
Argentina,ARG,2002,1000
Argentina,ARG,2003,2000
Argentina,ARG,2004,9000
Argentina,ARG,2005,11000
Argentina,ARG,2006,11000
Argentina,ARG,2007,11000
Argentina,ARG,2008,12000
Argentina,ARG,2009,9000
Argentina,ARG,2010,11000
Argentina,ARG,2011,17000
Argentina,ARG,2012,14000
Argentina,ARG,2013,10000
Argentina,ARG,2014,12000
Argentina,ARG,2015,13000
Argentina,ARG,2016,10000
Argentina,ARG,2017,9000
Argentina,ARG,2018,2000
Argentina,ARG,2019,4000
Argentina,ARG,2020,1000
Argentina,ARG,2021,1000
Argentina,ARG,2022,5000
Armenia,ARM,1992,0
Armenia,ARM,1993,0
Armenia,ARM,1994,0
Armenia,ARM,1995,0
Armenia,ARM,1996,0
Armenia,ARM,1997,0
Armenia,ARM,1998,0
Armenia,ARM,1999,0
Armenia,ARM,2000,0
Armenia,ARM,2001,1000
Armenia,ARM,2002,1000
Armenia,ARM,2003,1000
Armenia,ARM,2004,3000
Armenia,ARM,2005,1000
Armenia,ARM,2006,1000
Armenia,ARM,2007,0
Armenia,ARM,2008,0
Armenia,ARM,2009,0
Armenia,ARM,2010,0
Armenia,ARM,2011,0
Armenia,ARM,2012,0
Armenia,ARM,2013,0
Armenia,ARM,2016,0
Armenia,ARM,2020,0
Armenia,ARM,2022,0
Australia,AUS,1961,17000
Australia,AUS,1962,18000
Australia,AUS,1963,12000
Australia,AUS,1964,8000
Australia,AUS,1965,11000
Australia,AUS,1966,10000
Australia,AUS,1967,12000
Australia,AUS,1968,17000
Australia,AUS,1969,19000
Australia,AUS,1970,22000
Australia,AUS,1971,26000
Australia,AUS,1972,24000
Australia,AUS,1973,31000
Australia,AUS,1974,18000
Australia,AUS,1975,15000
Australia,AUS,1976,20000
Australia,AUS,1977,15000
Australia,AUS,1978,12000
Australia,AUS,1979,10000
Australia,AUS,1980,8000
Australia,AUS,1981,11000
Australia,AUS,1982,7000
Australia,AUS,1983,6000
Australia,AUS,1984,13000
Australia,AUS,1985,6000
Australia,AUS,1986,5000
Australia,AUS,1987,3000
Australia,AUS,1988,2000
Australia,AUS,1989,2000
Australia,AUS,1990,1000
Australia,AUS,1991,0
Australia,AUS,1992,1000
Australia,AUS,1993,0
Australia,AUS,1994,0
Australia,AUS,1995,1000
Australia,AUS,1996,1000
Australia,AUS,1997,1000
Australia,AUS,1998,1000
Australia,AUS,1999,2000
Australia,AUS,2000,1000
Australia,AUS,2001,1000
Australia,AUS,2002,1000
Australia,AUS,2003,1000
Australia,AUS,2004,2000
Australia,AUS,2005,1000
Australia,AUS,2006,1000
Australia,AUS,2007,0
Australia,AUS,2008,0
Australia,AUS,2009,1000
Australia,AUS,2010,0
Australia,AUS,2011,1000
Australia,AUS,2012,1000
Australia,AUS,2013,1000
Australia,AUS,2014,0
Australia,AUS,2015,1000
Australia,AUS,2016,1000
Australia,AUS,2017,2000
Australia,AUS,2018,2000
Australia,AUS,2019,1000
Australia,AUS,2020,1000
Australia,AUS,2021,3000
Australia,AUS,2022,2000
Austria,AUT,1961,0
Austria,AUT,1962,0
Austria,AUT,1963,0
Austria,AUT,1964,0
Austria,AUT,1965,0
Austria,AUT,1966,0
Austria,AUT,1967,0
Austria,AUT,1968,0
Austria,AUT,1969,0
Austria,AUT,1970,0
Austria,AUT,1971,0
Austria,AUT,1972,0
Austria,AUT,1973,0
Austria,AUT,1974,0
Austria,AUT,1975,1000
Austria,AUT,1976,0
Austria,AUT,1977,0
Austria,AUT,1978,0
Austria,AUT,1979,0
Austria,AUT,1980,0
Austria,AUT,1981,0
Austria,AUT,1982,0
Austria,AUT,1983,0
Austria,AUT,1984,0
Austria,AUT,1985,0
Austria,AUT,1986,0
Austria,AUT,1987,0
Austria,AUT,1988,0
Austria,AUT,1989,0
Austria,AUT,1990,0
Austria,AUT,1991,0
Austria,AUT,1992,0
Austria,AUT,1993,0
Austria,AUT,1994,0
Austria,AUT,1995,1000
Austria,AUT,1996,2000
Austria,AUT,1997,5000
Austria,AUT,1998,6000
Austria,AUT,1999,4000
Austria,AUT,2000,7000
Austria,AUT,2001,9000
Austria,AUT,2002,6000
Austria,AUT,2003,9000
Austria,AUT,2004,11000
Austria,AUT,2005,8000
Austria,AUT,2006,8000
Austria,AUT,2007,11000
Austria,AUT,2008,11000
Austria,AUT,2009,11000
Austria,AUT,2010,21000
Austria,AUT,2011,18000
Austria,AUT,2012,17000
Austria,AUT,2013,12000
Austria,AUT,2014,16000
Austria,AUT,2015,23000
Austria,AUT,2016,28000
Austria,AUT,2017,32000
Austria,AUT,2018,36000
Austria,AUT,2019,41000
Austria,AUT,2020,39000
Austria,AUT,2021,29000
Austria,AUT,2022,35000
Azerbaijan,AZE,1992,0
Azerbaijan,AZE,1993,0
Azerbaijan,AZE,1994,0
Azerbaijan,AZE,1995,0
Azerbaijan,AZE,1996,0
Azerbaijan,AZE,1997,0
Azerbaijan,AZE,1998,0
Azerbaijan,AZE,1999,0
Azerbaijan,AZE,2000,0
Azerbaijan,AZE,2001,0
Azerbaijan,AZE,2002,0
Azerbaijan,AZE,2003,1000
Azerbaijan,AZE,2004,1000
Azerbaijan,AZE,2005,1000
Azerbaijan,AZE,2006,0
Azerbaijan,AZE,2007,0
Azerbaijan,AZE,2008,0
Azerbaijan,AZE,2009,0
Azerbaijan,AZE,2010,0
Azerbaijan,AZE,2011,0
Azerbaijan,AZE,2012,0
Azerbaijan,AZE,2013,0
Azerbaijan,AZE,2017,0
Azerbaijan,AZE,2018,3000
Azerbaijan,AZE,2019,2000
Azerbaijan,AZE,2022,1000
Bahamas,BHS,1961,0
Bahamas,BHS,1962,0
Bahamas,BHS,1963,0
Bahamas,BHS,1964,0
Bahamas,BHS,1965,0
Bahamas,BHS,1966,0
Bahamas,BHS,1967,0
Bahamas,BHS,1968,0
Bahamas,BHS,1969,0
Bahamas,BHS,1970,0
Bahamas,BHS,1971,0
Bahamas,BHS,1972,0
Bahamas,BHS,1973,0
Bahamas,BHS,1974,0
Bahamas,BHS,1975,0
Bahamas,BHS,1976,0
Bahamas,BHS,1977,0
Bahamas,BHS,1978,0
Bahamas,BHS,1979,0
Bahamas,BHS,1980,0
Bahamas,BHS,1981,0
Bahamas,BHS,1982,0
Bahamas,BHS,1983,0
Bahamas,BHS,1984,0
Bahamas,BHS,1985,0
Bahamas,BHS,1986,0
Bahamas,BHS,1987,0
Bahamas,BHS,1988,0
Bahamas,BHS,1989,0
Bahamas,BHS,1990,0
Bahamas,BHS,1991,0
Bahamas,BHS,1992,0
Bahamas,BHS,1993,0
Bahamas,BHS,1994,0
Bahamas,BHS,1995,0
Bahamas,BHS,1996,0
Bahamas,BHS,1997,0
Bahamas,BHS,1998,0
Bahamas,BHS,1999,0
Bahamas,BHS,2000,0
Bahamas,BHS,2001,0
Bahamas,BHS,2002,0
Bahamas,BHS,2003,0
Bahamas,BHS,2004,0
Bahamas,BHS,2005,0
Bahamas,BHS,2006,0
Bahamas,BHS,2007,0
Bahamas,BHS,2008,0
Bahamas,BHS,2009,0
Bahamas,BHS,2010,0
Bahamas,BHS,2011,0
Bahamas,BHS,2012,0
Bahamas,BHS,2013,0
Bahamas,BHS,2018,0
Bahrain,BHR,2019,0
Bahrain,BHR,2020,0
Bahrain,BHR,2021,0
Bahrain,BHR,2022,0
Bangladesh,BGD,2010,0
Bangladesh,BGD,2011,0
Bangladesh,BGD,2012,0
Bangladesh,BGD,2013,0
Bangladesh,BGD,2015,0
Barbados,BRB,1961,0
Barbados,BRB,1962,0
Barbados,BRB,1963,0
Barbados,BRB,1964,0
Barbados,BRB,1965,0
Barbados,BRB,1966,0
Barbados,BRB,1967,0
Barbados,BRB,1968,0
Barbados,BRB,1969,0
Barbados,BRB,1970,0
Barbados,BRB,1971,0
Barbados,BRB,1972,0
Barbados,BRB,1973,0
Barbados,BRB,1974,0
Barbados,BRB,1975,0
Barbados,BRB,1976,0
Barbados,BRB,1977,0
Barbados,BRB,1978,0
Barbados,BRB,1979,0
Barbados,BRB,1980,0
Barbados,BRB,1981,0
Barbados,BRB,1982,0
Barbados,BRB,1983,0
Barbados,BRB,1984,0
Barbados,BRB,1985,0
Barbados,BRB,1986,0
Barbados,BRB,1987,0
Barbados,BRB,1988,0
Barbados,BRB,1989,0
Barbados,BRB,1990,0
Barbados,BRB,1991,0
Barbados,BRB,1992,0
Barbados,BRB,1993,0
Barbados,BRB,1994,0
Barbados,BRB,1995,0
Barbados,BRB,1996,0
Barbados,BRB,1997,0
Barbados,BRB,1998,0
Barbados,BRB,1999,0
Barbados,BRB,2000,0
Barbados,BRB,2001,0
Barbados,BRB,2002,0
Barbados,BRB,2003,0
Barbados,BRB,2004,0
Barbados,BRB,2005,0
Barbados,BRB,2006,0
Barbados,BRB,2007,0
Barbados,BRB,2008,0
Barbados,BRB,2009,0
Barbados,BRB,2010,0
Barbados,BRB,2011,0
Barbados,BRB,2012,0
Barbados,BRB,2013,0
Barbados,BRB,2014,0
Barbados,BRB,2015,0
Barbados,BRB,2016,0
Barbados,BRB,2017,0
Barbados,BRB,2020,0
Belarus,BLR,1992,5000
Belarus,BLR,1993,7000
Belarus,BLR,1994,7000
Belarus,BLR,1995,16000
Belarus,BLR,1996,15000
Belarus,BLR,1997,17000
Belarus,BLR,1998,34000
Belarus,BLR,1999,54000
Belarus,BLR,2000,39000
Belarus,BLR,2001,41000
Belarus,BLR,2002,33000
Belarus,BLR,2003,31000
Belarus,BLR,2004,32000
Belarus,BLR,2005,26000
Belarus,BLR,2006,31000
Belarus,BLR,2007,26000
Belarus,BLR,2008,28000
Belarus,BLR,2009,32000
Belarus,BLR,2010,33000
Belarus,BLR,2011,38000
Belarus,BLR,2012,33000
Belarus,BLR,2013,49000
Belarus,BLR,2014,55000
Belarus,BLR,2015,52000
Belarus,BLR,2016,53000
Belarus,BLR,2017,48000
Belarus,BLR,2018,38000
Belarus,BLR,2019,46000
Belarus,BLR,2020,41000
Belarus,BLR,2021,44000
Belarus,BLR,2022,39000
Belgium,BEL,2000,117000
Belgium,BEL,2001,114000
Belgium,BEL,2002,104000
Belgium,BEL,2003,112000
Belgium,BEL,2004,110000
Belgium,BEL,2005,108000
Belgium,BEL,2006,98000
Belgium,BEL,2007,84000
Belgium,BEL,2008,86000
Belgium,BEL,2009,93000
Belgium,BEL,2010,107000
Belgium,BEL,2011,76000
Belgium,BEL,2012,89000
Belgium,BEL,2013,103000
Belgium,BEL,2014,106000
Belgium,BEL,2015,113000
Belgium,BEL,2016,122000
Belgium,BEL,2017,115000
Belgium,BEL,2018,172000
Belgium,BEL,2019,120000
Belgium,BEL,2020,125000
Belgium,BEL,2021,128000
Belgium,BEL,2022,131000
Belize,BLZ,1961,0
Belize,BLZ,1962,0
Belize,BLZ,1963,0
Belize,BLZ,1964,0
Belize,BLZ,1965,0
Belize,BLZ,1966,0
Belize,BLZ,1967,0
Belize,BLZ,1968,0
Belize,BLZ,1969,0
Belize,BLZ,1970,0
Belize,BLZ,1971,0
Belize,BLZ,1972,0
Belize,BLZ,1973,0
Belize,BLZ,1974,0
Belize,BLZ,1975,0
Belize,BLZ,1976,0
Belize,BLZ,1977,0
Belize,BLZ,1978,0
Belize,BLZ,1979,0
Belize,BLZ,1980,0
Belize,BLZ,1981,0
Belize,BLZ,1982,0
Belize,BLZ,1983,0
Belize,BLZ,1984,0
Belize,BLZ,1985,0
Belize,BLZ,1986,0
Belize,BLZ,1987,0
Belize,BLZ,1988,0
Belize,BLZ,1989,0
Belize,BLZ,1990,0
Belize,BLZ,1991,0
Belize,BLZ,1992,0
Belize,BLZ,1993,0
Belize,BLZ,1994,0
Belize,BLZ,1995,0
Belize,BLZ,1996,0
Belize,BLZ,1997,0
Belize,BLZ,1998,0
Belize,BLZ,1999,0
Belize,BLZ,2000,0
Belize,BLZ,2001,0
Belize,BLZ,2002,0
Belize,BLZ,2003,0
Belize,BLZ,2004,0
Belize,BLZ,2005,0
Belize,BLZ,2006,0
Belize,BLZ,2007,0
Belize,BLZ,2008,0
Belize,BLZ,2009,0
Belize,BLZ,2010,0
Belize,BLZ,2011,0
Belize,BLZ,2012,0
Belize,BLZ,2013,0
Belize,BLZ,2014,0
Belize,BLZ,2015,0
Belize,BLZ,2017,0
Benin,BEN,2019,0
Benin,BEN,2020,0
Benin,BEN,2021,0
Benin,BEN,2022,0
Bolivia,BOL,1961,0
Bolivia,BOL,1962,0
Bolivia,BOL,1963,0
Bolivia,BOL,1964,0
Bolivia,BOL,1965,0
Bolivia,BOL,1966,0
Bolivia,BOL,1967,0
Bolivia,BOL,1968,0
Bolivia,BOL,1969,0
Bolivia,BOL,1970,0
Bolivia,BOL,1971,0
Bolivia,BOL,1972,0
Bolivia,BOL,1973,0
Bolivia,BOL,1974,0
Bolivia,BOL,1975,0
Bolivia,BOL,1976,0
Bolivia,BOL,1977,0
Bolivia,BOL,1978,0
Bolivia,BOL,1979,0
Bolivia,BOL,1980,0
Bolivia,BOL,1981,0
Bolivia,BOL,1982,0
Bolivia,BOL,1983,0
Bolivia,BOL,1984,0
Bolivia,BOL,1985,0
Bolivia,BOL,1986,0
Bolivia,BOL,1987,0
Bolivia,BOL,1988,0
Bolivia,BOL,1989,0
Bolivia,BOL,1990,0
Bolivia,BOL,1991,0
Bolivia,BOL,1992,0
Bolivia,BOL,1993,0
Bolivia,BOL,1994,0
Bolivia,BOL,1995,1000
Bolivia,BOL,1996,1000
Bolivia,BOL,1997,0
Bolivia,BOL,1998,1000
Bolivia,BOL,1999,1000
Bolivia,BOL,2000,0
Bolivia,BOL,2001,0
Bolivia,BOL,2002,0
Bolivia,BOL,2003,0
Bolivia,BOL,2004,0
Bolivia,BOL,2005,0
Bolivia,BOL,2006,0
Bolivia,BOL,2007,0
Bolivia,BOL,2008,0
Bolivia,BOL,2009,0
Bolivia,BOL,2010,0
Bolivia,BOL,2011,0
Bolivia,BOL,2012,0
Bolivia,BOL,2013,0
Bolivia,BOL,2018,0
Bolivia,BOL,2022,0
Bosnia and Herzegovina,BIH,1992,0
Bosnia and Herzegovina,BIH,1993,0
Bosnia and Herzegovina,BIH,1994,0
Bosnia and Herzegovina,BIH,1995,0
Bosnia and Herzegovina,BIH,1996,1000
Bosnia and Herzegovina,BIH,1997,0
Bosnia and Herzegovina,BIH,1998,0
Bosnia and Herzegovina,BIH,1999,0
Bosnia and Herzegovina,BIH,2000,0
Bosnia and Herzegovina,BIH,2001,0
Bosnia and Herzegovina,BIH,2002,0
Bosnia and Herzegovina,BIH,2003,0
Bosnia and Herzegovina,BIH,2004,0
Bosnia and Herzegovina,BIH,2005,0
Bosnia and Herzegovina,BIH,2006,0
Bosnia and Herzegovina,BIH,2007,1000
Bosnia and Herzegovina,BIH,2008,2000
Bosnia and Herzegovina,BIH,2009,2000
Bosnia and Herzegovina,BIH,2010,4000
Bosnia and Herzegovina,BIH,2011,3000
Bosnia and Herzegovina,BIH,2012,3000
Bosnia and Herzegovina,BIH,2013,4000
Bosnia and Herzegovina,BIH,2014,3000
Bosnia and Herzegovina,BIH,2015,2000
Bosnia and Herzegovina,BIH,2016,1000
Bosnia and Herzegovina,BIH,2017,2000
Bosnia and Herzegovina,BIH,2018,2000
Bosnia and Herzegovina,BIH,2019,2000
Bosnia and Herzegovina,BIH,2020,2000
Bosnia and Herzegovina,BIH,2021,1000
Bosnia and Herzegovina,BIH,2022,2000
Botswana,BWA,1961,0
Botswana,BWA,1962,0
Botswana,BWA,1963,0
Botswana,BWA,1964,0
Botswana,BWA,1965,0
Botswana,BWA,1966,0
Botswana,BWA,1967,0
Botswana,BWA,1968,0
Botswana,BWA,1969,0
Botswana,BWA,1970,0
Botswana,BWA,1971,0
Botswana,BWA,1972,0
Botswana,BWA,1973,0
Botswana,BWA,1974,0
Botswana,BWA,1975,0
Botswana,BWA,1976,0
Botswana,BWA,1977,0
Botswana,BWA,1978,0
Botswana,BWA,1979,0
Botswana,BWA,1980,0
Botswana,BWA,1981,0
Botswana,BWA,1982,0
Botswana,BWA,1983,0
Botswana,BWA,1984,0
Botswana,BWA,1985,0
Botswana,BWA,1986,0
Botswana,BWA,1987,0
Botswana,BWA,1988,0
Botswana,BWA,1989,0
Botswana,BWA,1990,0
Botswana,BWA,1991,0
Botswana,BWA,1992,0
Botswana,BWA,1993,0
Botswana,BWA,1994,0
Botswana,BWA,1995,0
Botswana,BWA,1996,0
Botswana,BWA,1997,0
Botswana,BWA,1998,0
Botswana,BWA,1999,0
Botswana,BWA,2000,0
Botswana,BWA,2001,0
Botswana,BWA,2002,0
Botswana,BWA,2003,0
Botswana,BWA,2004,0
Botswana,BWA,2005,0
Botswana,BWA,2006,0
Botswana,BWA,2007,0
Botswana,BWA,2008,0
Botswana,BWA,2009,0
Botswana,BWA,2010,0
Botswana,BWA,2011,0
Botswana,BWA,2012,0
Botswana,BWA,2013,0
Botswana,BWA,2014,0
Botswana,BWA,2015,0
Botswana,BWA,2016,0
Botswana,BWA,2017,0
Botswana,BWA,2018,0
Botswana,BWA,2019,0
Botswana,BWA,2020,0
Botswana,BWA,2021,0
Botswana,BWA,2022,0
Brazil,BRA,1961,0
Brazil,BRA,1962,0
Brazil,BRA,1963,0
Brazil,BRA,1964,0
Brazil,BRA,1965,0
Brazil,BRA,1966,0
Brazil,BRA,1967,0
Brazil,BRA,1968,0
Brazil,BRA,1969,0
Brazil,BRA,1970,0
Brazil,BRA,1971,0
Brazil,BRA,1972,0
Brazil,BRA,1973,0
Brazil,BRA,1974,1000
Brazil,BRA,1975,0
Brazil,BRA,1976,0
Brazil,BRA,1977,0
Brazil,BRA,1978,0
Brazil,BRA,1979,0
Brazil,BRA,1980,9000
Brazil,BRA,1981,12000
Brazil,BRA,1982,5000
Brazil,BRA,1983,1000
Brazil,BRA,1984,1000
Brazil,BRA,1985,1000
Brazil,BRA,1986,3000
Brazil,BRA,1987,2000
Brazil,BRA,1988,1000
Brazil,BRA,1989,3000
Brazil,BRA,1990,3000
Brazil,BRA,1991,4000
Brazil,BRA,1992,4000
Brazil,BRA,1993,3000
Brazil,BRA,1994,2000
Brazil,BRA,1995,2000
Brazil,BRA,1996,3000
Brazil,BRA,1997,5000
Brazil,BRA,1998,6000
Brazil,BRA,1999,3000
Brazil,BRA,2000,7000
Brazil,BRA,2001,11000
Brazil,BRA,2002,8000
Brazil,BRA,2003,8000
Brazil,BRA,2004,14000
Brazil,BRA,2005,22000
Brazil,BRA,2006,21000
Brazil,BRA,2007,28000
Brazil,BRA,2008,46000
Brazil,BRA,2009,47000
Brazil,BRA,2010,42000
Brazil,BRA,2011,31000
Brazil,BRA,2012,37000
Brazil,BRA,2013,20000
Brazil,BRA,2014,24000
Brazil,BRA,2015,29000
Brazil,BRA,2016,20000
Brazil,BRA,2017,19000
Brazil,BRA,2018,29000
Brazil,BRA,2019,25000
Brazil,BRA,2020,18000
Brazil,BRA,2021,29000
Brazil,BRA,2022,28000
Brunei,BRN,1961,0
Brunei,BRN,1962,0
Brunei,BRN,1963,0
Brunei,BRN,1964,0
Brunei,BRN,1965,0
Brunei,BRN,1966,0
Brunei,BRN,1967,0
Brunei,BRN,1968,0
Brunei,BRN,1969,0
Brunei,BRN,1970,0
Brunei,BRN,1971,0
Brunei,BRN,1972,0
Brunei,BRN,1973,0
Brunei,BRN,1974,0
Brunei,BRN,1975,0
Brunei,BRN,1976,0
Brunei,BRN,1977,0
